Sku,Title,Price,Regular Price,images,Primary,Sub Categories,Sub Sub categories,,,
20-997,10 Ampere 2 Pin Plug 10 Ampere 220V Jixing Brand,24,24,https://fixit.com.bd/wp-content/uploads/2019/12/20-997-web-600x600.jpg,Electrical,Dimmers  Switches and Outlets,Plugs and Connectors|Electrical,Switches and Outlets,Plugs and Connectors,
30-478,400 ml Black Color Spray Paint Zorrofix Brand,180,180,https://fixit.com.bd/wp-content/uploads/2019/12/30-478.jpg,Paint,Spray Paint,General Purpose,,,
02-038,1.5 Lbs Ball Peen Hammer with Wooden Handle HMBR Brand,307,307,https://fixit.com.bd/wp-content/uploads/2019/12/02-038A.jpg,Tools and Hardware,Hand Tools,Hammers,,,
Fixit-0258,42mm Small Size Magnet Catch HMBR Brand,14,14,https://fixit.com.bd/wp-content/uploads/2019/12/501-0258-Magnet-Catch-Small-42mm.jpg,Tools and Hardware,Cabinet and Furniture Hardware,Cabinet Latches,,,
21-204,20g 4 Minutes High Strength Fast Curing Steel Epoxy Fevicol Brand,80,80,https://fixit.com.bd/wp-content/uploads/2019/12/item_XL_29848049_88516315.jpg,Paint,Duct Tape  Glues and Epoxy,Glues and Epoxy,,,
18-059,6 Inch Axe with 12 Inch Wooden Handle,560,560,https://fixit.com.bd/wp-content/uploads/2019/12/axeWoodenHandle.jpg,Tools and Hardware,Hand Tools,Axes and Meat Cleavers,,,
26-2921,100 Pcs One-Off Polyethene Disposable Hand Gloves for Cafe  Deli  Restuarant & Home Kitchen,105,110,https://fixit.com.bd/wp-content/uploads/2019/12/26-2921A.jpg,Kitchen,Small Appliances,Hand Gloves,,,
26-3003,One pair Natural Bamboo Blue & White Floral Design Chopsticks,114,120,https://fixit.com.bd/wp-content/uploads/2019/12/26-3003A.jpg,Kitchen,Small Appliances,Chop Sticks,,,
36-402,Blue & Orange Tape Cutter for Dispensing Clear Packing Tape,80,80,https://fixit.com.bd/wp-content/uploads/2019/12/36-402A-1.jpg,Storage and Organization,Office Supplies,Tape Dispenser,,,
30-075,400 ml Gloss Black Color Spray Paint Bosny Brand,238,238,https://fixit.com.bd/wp-content/uploads/2019/12/30-075.jpg,Paint,Spray Paint,General Purpose,,,
26-3067,Water Repellent Fabric Shower Curtain,854,854,https://fixit.com.bd/wp-content/uploads/2019/12/26-3067.jpg,Bath and Faucets,Bathroom Accessories and Hardware,Shower Curtains,,,
