Sku,Title,Short Description,Price,image,Product categories,Sub ,sub sub,,
04-246,8 mm Stainless Steel L Socket Wrench HMBR Brand,,58,https://fixit.com.bd/wp-content/uploads/2020/01/04-246A.jpg,Tools and Hardware,Hand Tools,Sockets and Ratchets,,
05-1147,128mm Nickel Chrome Color Furniture Handle 6202,,56,https://fixit.com.bd/wp-content/uploads/2020/01/05-1147A.jpg,Tools and Hardware,Cabinet and Furniture Hardware,Pulls,,
05-873,128mm Stainless Steel Furniture Handle Minimalist Design,,56,https://fixit.com.bd/wp-content/uploads/2020/01/05-873.jpg,Tools and Hardware,Cabinet and Furniture Hardware,Pulls,,
26-2866,1.5 Volts AA-Size Battery Uniross Brand,,56,https://fixit.com.bd/wp-content/uploads/2020/01/26-2866.jpg,Electrical,Batteries,Household Batteries,,
16-927,6 Inch Two way Iron Hook for Rope Hoisting & Fastening M6,,62,https://fixit.com.bd/wp-content/uploads/2020/01/16-927A.jpg,Tools and Hardware,Screws Nails and Anchors,Anchors,,
36-358,Multi Color Mushroom Top Board Pin QIFEI Brand,,33,https://fixit.com.bd/wp-content/uploads/2020/01/36-358A.jpg,Storage and Organization,Office Supplies,Pins,,
40-012,Blue Color Pet Dog  Belt,,63,https://fixit.com.bd/wp-content/uploads/2020/01/40-012A.jpg,Outdoor Living,Pet Supplies and Wildlife,Belts,,
05-1262,96mm Gold Polish Color Furniture Handle,,171,https://fixit.com.bd/wp-content/uploads/2020/01/05-1262A.jpg,Tools and Hardware,Cabinet and Furniture Hardware,Pulls,,
05-1281,4 Inch Stainless Steel Haps Bolt,,133,https://fixit.com.bd/wp-content/uploads/2020/01/05-1281.jpg,Tools and Hardware,Cabinet and Furniture Hardware,Latches ( Chitkini ),,
01-984,4mm Hexagonal/LN key Douniushi Brand,,67,https://fixit.com.bd/wp-content/uploads/2020/01/01-984.jpg,Tools and Hardware,Hand Tools,Hex Keys,,
26-2119,Blue Color Bottle Cleaning Brush Sponge Foam Head,,67,https://fixit.com.bd/wp-content/uploads/2020/01/26-2119A.jpg,Cleaning,Cleaning Tools and Supplies,Brush,,
20-1429,13A 3 Pin Flat Blue & White Color Multi Plug,,70,https://fixit.com.bd/wp-content/uploads/2020/01/20-1429A.jpg,Electrical,Extension Cords and Surge Protectors,Power Strips and Multi-Outlet Converters,,
