SKU,Price,Product Description,Product Name,Image,Primary,Sub,Sub Sub,,
FIXIT-79011,1668,Voltage: 4.8VPower: Ni-cd 800mahNo-load speed: 150rpmTorque: ≥2.5NmChuck: 1/4″(6.35Mm)Adaptor: 220-240v 50/60hzCharge time: 3-5 hoursSwitch: forward and reverseLed battery indicator: 3 level battery power indicator keeps the user update of the most current battery condition18pcs 25mm screwdriver bits: Philips: PH0PH1PH2PH2PH3 Pozidriv: pz0pz2pz3Slot: 3344.5 Hex: H1.5H4 Torx: T8T10T15T202pcs 50mm screwdriver bits:Philips:PH2Slot: 43pcs hss drill bits: 22.531pc 60mm magnetic bit holderCE/GSPacking: double blister ,4.8V Cordless Screwdriver Tolsen Brand 79011,https://fixit.com.bd/wp-content/uploads/2020/01/ae698ad1c5356b144c31011b38d5be195d290592.jpg,Tools and Hardware,Hand Tools,Screwdrivers,,
FIXIT-75451,290,Chrome alloy steel bodySand blasting finishingPacking: plastic tube with color label ,17x280x25 Hex Flat Chisel Tolsen Brand 75451,https://fixit.com.bd/wp-content/uploads/2020/01/0571839d883766e76049f3236ae34bde2191f693.jpg,Tools and Hardware,Hand Tools,Chisels,,
FIXIT-75450,290,Chrome alloy steel bodySand blasting finishingPacking: plastic tube with color label ,17x280mm Hex Point Chisel Tolsen Brand 75450,https://fixit.com.bd/wp-content/uploads/2020/01/98bd49b8ce6754b3a5b557dc81709bda4e7c64fe.jpg,Tools and Hardware,Hand Tools,Chisels,,
FIXIT-75457,363,Chrome alloy bodySand blasting finishingPacking: plastic hanger with color label,DIAMETER-18x400x25mm Sds-Max Flat Chisel Tolsen Brand 75457,https://fixit.com.bd/wp-content/uploads/2020/01/18343a4a58a0be0d9a085066890a313c516ade09.jpg,Tools and Hardware,Hand Tools,Chisels,,
FIXIT-75456,363,Chrome alloy bodySand blasting finishingPacking: plastic hanger with color label,DIAMETER-18x400mm Sds-Max Point Chisel Tolsen Brand 75456,https://fixit.com.bd/wp-content/uploads/2020/01/35e8b3685c48adcf26807a11060d5cba627be633.jpg,Tools and Hardware,Hand Tools,Chisels,,
FIXIT-75440,218,Chrome alloy steel bodySand blasting finishingPacking: plastic hanger with color label ,14X250 Sds-Plus Point Chisel Tolsen Brand 75440,https://fixit.com.bd/wp-content/uploads/2020/01/70e8f4db25019e0bb826962fbea97fb3914ef7f9.jpg,Tools and Hardware,Hand Tools,Chisels,,
FIXIT-80103,2610,Rigid frame for easy opening and accessReinforced plastic base for durabilitySpecial partition of the internal and external pockets easy access to the tool compartmentAdjustable shoulder strap includedPacking: poly bag with paper card ," 16"" Tool Bag Tolsen Brand 80103",https://fixit.com.bd/wp-content/uploads/2020/01/6ad9b80cd3aea53c2511f712fbe05d06c1069f07.jpg,Tools and Hardware,Tools Storage,Portable Tool Boxes,,
FIXIT-80101,1523,Rigid frame for easy opening and accessSpecial partition of the internal and external pocketseasy access to the tool compartmentAdjustable shoulder strap includedLight weight fabric boxPacking: poly bag with paper card ," 17"" Tool Bag Tolsen Brand 80101",https://fixit.com.bd/wp-content/uploads/2020/01/a327fbd8367e18a119ddc4e5c20fa7d48781aa13.jpg,Tools and Hardware,Tools Storage,Portable Tool Boxes,,
FIXIT-80212,2900,Steel thickness:0.6~0.8mmNet weight: 5.1kgs/11.2lbs3 layersPacking: carton ,495x200x290mm Tool Box Tolsen Brand 80212,https://fixit.com.bd/wp-content/uploads/2020/01/aa1eaa3c9378fd9fb1ed35aa655ab1acbd332ca0.jpg,Tools and Hardware,Tools Storage,Portable Tool Boxes,,
FIXIT-80211,2320,Steel thickness:0.6~0.8mmNet weight: 3.3kgs/7.3lbs3 layersPacking: carton ,404X200X195 Tool Box Tolsen Brand 80211,https://fixit.com.bd/wp-content/uploads/2020/01/3af5b3d788d0794c5731628409767fdaeee1e6a8.jpg,Tools and Hardware,Tools Storage,Portable Tool Boxes,,
FIXIT-80190,653,Seperately PP boxNet weight: 670g , 340x180x130mm Plastic Tool Box Tolsen Brand 80190,https://fixit.com.bd/wp-content/uploads/2020/01/0eb03454794981502b29bf38fe670e04928efe81.jpg,Tools and Hardware,Tools Storage,Portable Tool Boxes,,
FIXIT-80201,1088,Seperately PP boxNet weight: 1.5kgsPacking: carton ,420x230x190mm Heavy Duty Plastic Tool Box Tolsen Brand 80201,https://fixit.com.bd/wp-content/uploads/2020/01/0073d32b847c0b82cf13c1beafee798785f8cbcb.jpg,Tools and Hardware,Tools Storage,Portable Tool Boxes,,
