Sku,Title,Short Description,Sku,Price,Regular Price,,images,Product categories,sub,sub sub,,
19-881,24 Inch Steel Connection Pipe HMBR Brand,,19-881,94,94,19-881.jpg,https://fixit.com.bd/wp-content/uploads/2020/01/19-881.jpg,Plumbing,Plumbing Accessories,Hoses and Accessories,,
20-985,220V 16A White Color 3 Round Pin Electric Socket,,20-985,95,95,20-985.jpg,https://fixit.com.bd/wp-content/uploads/2020/01/20-985.jpg,Electrical,Dimmers Switches and Outlets,Plugs and Connectors|Electrical,Switches and Outlets,Plugs and Connectors
26-3034,4 Inch Shoe Polish Great For Leather & Bags,,26-3034,105,110,26-3034A.jpg,https://fixit.com.bd/wp-content/uploads/2020/01/26-3034A.jpg,Cleaning,Cleaning Tools and Supplies,Shoe Polish,,
04-250,16 mm Stainless Steel L Socket Shaped Wrench HMBR Brand,,04-250,97,97,04-250C.jpg,https://fixit.com.bd/wp-content/uploads/2020/01/04-250C.jpg,Tools and Hardware,Hand Tools,Sockets and Ratchets,,
11-138,4 Inch 80 Grit 13000 RPM Abrasive Disc KingSba Brand,,11-138,181,181,11-138A.jpg,https://fixit.com.bd/wp-content/uploads/2020/01/11-138A.jpg,Tools and Hardware,Power Tool Accessories,Saw Blades,,
20-541,5 Amp 250 Volt White Color 3 Round Pin Type Multi Plug 5 Inlets,,20-541,110,116,20-541.jpg,https://fixit.com.bd/wp-content/uploads/2020/01/20-541.jpg,Electrical,Dimmers Switches and Outlets,Plugs and Connectors|Electrical,Switches and Outlets,Plugs and Connectors
26-2539,6 Inch Pink & White Plastic Handle Vertical Style Metal Peeler,,26-2539,143,143,26-2539.jpg,https://fixit.com.bd/wp-content/uploads/2020/01/26-2539.jpg,Kitchen,Cooking and Food Preparation,Graters and Peelers,,
06-313,3 Keys Golden Color Padlock Lock Baihe Brand,,06-313,114,120,06-313A.jpg,https://fixit.com.bd/wp-content/uploads/2020/01/06-313A.jpg,Tools and Hardware,Safety and Security,Pad Locks,,
26-3375,4 Inch Shoe Polish Quick Shine Brand,,26-3375,114,120,26-3375A.jpg,https://fixit.com.bd/wp-content/uploads/2020/01/26-3375A.jpg,Cleaning,Cleaning Tools and Supplies,Shoe Polish,,
26-3336,3 Pcs Cartoon People MultiColor Strong Adhesive Picture Hook (Sticks to Wall),,26-3336,114,120,26-3336A.jpg,https://fixit.com.bd/wp-content/uploads/2020/01/26-3336A.jpg,Tools and Hardware,Fasteners,Picture and Mirror Hanging,,
