Sku,Title,Price,Regular Price,Primary,Sub,Sub Sub,img
26-381,200  ml Liquid Savlon Antiseptic Handwash ACI Brand,43,43,Cleaning,Personal Care,Hand Soaps and Sanitizers,https://fixit.com.bd/wp-content/uploads/2020/01/26-381a.jpg
27-011,Blue Plastic Fabric Filter Dust Mask HMBR Brand,50,50,Tools and Hardware,Safety and Security,Respiratory Masks,https://fixit.com.bd/wp-content/uploads/2020/01/27-011.jpg
04-600,11mm Stainless Steel Bi-Hex ring & open Jaw dual Wrench Feibao Brand,62,65,Tools and Hardware,Hand Tools,Wrenches,https://fixit.com.bd/wp-content/uploads/2020/01/04-600A.jpg
33-108,5m Blue & White Heavy Duty Nylon Rope HMBR Brand,64,67,Tools and Hardware,Chain and Rope,Rope,https://fixit.com.bd/wp-content/uploads/2020/01/33-108-web.jpg
05-923,64mm Antique Brass Color Metal Furniture Handle,66,69,Tools and Hardware,Cabinet and Furniture Hardware,Pulls,https://fixit.com.bd/wp-content/uploads/2020/01/05-923A.jpg
04-601,12mm Stainless Steel Bi-Hex ring & open Jaw dual Wrench Feibao Brand,67,70,Tools and Hardware,Hand Tools,Wrenches,https://fixit.com.bd/wp-content/uploads/2020/01/04-601A.jpg
26-3230,2 Inch Black and Red Color Stainless Steel Fancy Nail Cutter Rimei Brand,67,70,Cleaning,Personal Care,Nail Care,https://fixit.com.bd/wp-content/uploads/2020/01/26-3230A.jpg
26-3953,Small Steel Nail Cutter Milk 1106 comes with Pink plastic keyring case,67,70,Cleaning,Personal Care,Nail Care,https://fixit.com.bd/wp-content/uploads/2020/01/26-3953A.jpg
21-036,13g 4 Minute 3 Ton Standard Araldite Epoxy Glue use for PlasticRubber CeramicWoodGlassMetal Concrete,62,70,Paint,Duct Tape Glues and Epoxy,,https://fixit.com.bd/wp-content/uploads/2020/01/21-036A.jpg
26-2775,12 Pcs Multi Color Plastic Cloth Clip,69,73,Storage and Organization,Garages and Outdoor Storage,Canopy Accessories,https://fixit.com.bd/wp-content/uploads/2020/01/26-2775A.jpg
26-2776,14 Pcs Multi Color Plastic Cloth Clip,69,73,Storage and Organization,Garages and Outdoor Storage,Canopy Accessories,https://fixit.com.bd/wp-content/uploads/2020/01/26-2776A.jpg
38-192,10 Meter Black Color Measuring Tape Yukai Brand (Damage Product),70,73,Tools and Hardware,Hand Tools,Measure and Layout Tools,https://fixit.com.bd/wp-content/uploads/2020/01/38-192A.jpg
25-054,Antique Brass Color Butterfly Hinge HMBR Brand 3 Inch x 2.25 Inch,95,95,Tools and Hardware,Cabinet and Furniture Hardware,Hinges,https://fixit.com.bd/wp-content/uploads/2020/01/25-054A.jpg
05-1267,25mm Antique Brass Color Pipe Socket Victorian Cut Design,75,78,Plumbing,Pipes and Fittings,Steel Pipe and Fittings,https://fixit.com.bd/wp-content/uploads/2020/01/05-1267-web.jpg
04-603,14mm Stainless Steel Bi-Hex ring & open Jaw dual Wrench Feibao Brand,76,80,Tools and Hardware,Hand Tools,Wrenches,https://fixit.com.bd/wp-content/uploads/2020/01/04-603A.jpg
05-1543,14 Inch Sliding Drawer Channel,76,80,Tools and Hardware,Cabinet and Furniture Hardware,Drawer Channel,https://fixit.com.bd/wp-content/uploads/2020/01/05-1543A.jpg
26-3190,Small Size Bamboo Skewer Stick for great Shashliks & Kebabs Jiayi Brand,76,80,Kitchen,Small Appliances,Barbecue Accessories,https://fixit.com.bd/wp-content/uploads/2020/01/26-3190A.jpg
26-3233,2.5 Inch Stainless Steel Key Holder with Key Ring Rimei Brand A201,76,80,Tools and Hardware,Keys and Accessories,,https://fixit.com.bd/wp-content/uploads/2020/01/26-3233A.jpg
26-3238,3 Inch Stainless Steel Fancy Nail Cutter with Pink Flower Design,76,80,Cleaning,Personal Care,Nail Care,https://fixit.com.bd/wp-content/uploads/2020/01/26-3238A.jpg
36-398,8 Inch Thin Tip Paint Brush for Caligraphy,76,80,Paint,Paint Supplies,Paint Brushes,https://fixit.com.bd/wp-content/uploads/2020/01/36-398-web.jpg
