Sku,Title,Price,Regular Price,Sale Price,,Image,Product categories,Sub,Sub Sub
07-006,140mm Stainless Steel Glass Lock HMBR Brand,103,103,,,https://fixit.com.bd/wp-content/uploads/2020/02/07-006.jpg,Tools and Hardware,Safety and Security,Pad Locks
05-1610,Antique Brass Color Furniture Knob Victorian Design 8529,133,140,133,,https://fixit.com.bd/wp-content/uploads/2020/02/05-1610.jpg,Tools and Hardware,Cabinet and Furniture Hardware,Knobs
26-1360,550  ml Glass &amp; Glossy Cleaner Spray Clean World Brand,95,95,,,https://fixit.com.bd/wp-content/uploads/2020/02/26-1360.jpg,Cleaning,Household Cleaners,Glass and Window Cleaners
25-121,4 Inch x 3mm  Stainless Steel Door Hinge HMBR Brand,209,209,,,https://fixit.com.bd/wp-content/uploads/2020/02/25-151.jpg,Tools and Hardware,Cabinet and Furniture Hardware,Hinges
14-113,6 Inch Straight Circlip Plier with Yellow Color Rubber Handle Wynn's Brand,238,238,,,https://fixit.com.bd/wp-content/uploads/2020/02/14-113.jpg,Tools and Hardware,Hand Tools,Pliers
05-1576,96mm Stainless Steel White Color Furniture Handle Victorian Cut Design 8031,152,160,152,,https://fixit.com.bd/wp-content/uploads/2020/02/05-1576.jpg,Tools and Hardware,Cabinet and Furniture Hardware,Pulls
05-1608,96mm Antique Copper Color Furniture Handle Victorian Cut Design 8529,152,160,152,,https://fixit.com.bd/wp-content/uploads/2020/02/05-1608.jpg,Tools and Hardware,Cabinet and Furniture Hardware,Pulls
05-1611,Antique Copper Color Furniture Knob Victorian Design 8016,152,160,152,,https://fixit.com.bd/wp-content/uploads/2020/02/05-1611.jpg,Tools and Hardware,Cabinet and Furniture Hardware,Knobs
05-1626,96mm Golden & Solid Brass Color Furniture Handle 8705,152,160,152,,https://fixit.com.bd/wp-content/uploads/2020/02/05-1626.jpg,Tools and Hardware,Cabinet and Furniture Hardware,Pulls
05-1628,96mm Antique Copper Color Furniture Handle 8002,152,160,152,,https://fixit.com.bd/wp-content/uploads/2020/02/05-1628.jpg,Tools and Hardware,Cabinet and Furniture Hardware,Pulls
13-293,7mm Metal Screw Driver Bit Feibao Brand,152,160,152,,https://fixit.com.bd/wp-content/uploads/2020/02/13-293.jpg,Tools and Hardware,Power Tool Accessories,Drill Bits
02-006,4 Oz Ball Peen Hammer with Wooden Handle HMBR Brand,140,140,,,https://fixit.com.bd/wp-content/uploads/2020/02/02-006.jpg,Tools and Hardware,Hand Tools,Hammers
01-522,Multi-Size 10 Pcs Stainless Steel Hexagonal Key (LN Key) Set HMBR Brand,117,117,,,https://fixit.com.bd/wp-content/uploads/2020/02/01-522.jpg,Tools and Hardware,Hand Tools,Hex Keys
40-275,White Color Square Bowl for serving Pet Dog Food,155,163,155,,https://fixit.com.bd/wp-content/uploads/2020/02/40-275.jpg,Outdoor Living,Pet Supplies and Wildlife,Pet Dog Feeding Supplies
20-879,125/250V 3A 22 ft. 3 Inlet Sockets Extension Cable Reel,143,143,,,https://fixit.com.bd/wp-content/uploads/2020/02/20-879.jpg,Electrical,Extension Cords and Surge Protectors,Power Strips and Multi-Outlet Converters
05-1074,Stainless Steel Double sided Glass Push & Pull Lock,160,168,160,,https://fixit.com.bd/wp-content/uploads/2020/02/05-1074.jpg,Tools and Hardware,Door Knobs and Hardware,Door Closers
26-3030,500  ml Liquid Hand Wash,160,168,160,,https://fixit.com.bd/wp-content/uploads/2020/02/26-3030.jpg,Cleaning,Personal Care,Hand Soaps and Sanitizers
13-294,7.50mm Metal Screw Driver Bit Feibao Brand,162,170,162,,https://fixit.com.bd/wp-content/uploads/2020/02/13-294.jpg,Tools and Hardware,Power Tool Accessories,Drill Bits
20-1255,220V 50-60Hz 15W E-27 Stick Energy Saving Bulb RSR Brand Screw In Install,162,170,162,,https://fixit.com.bd/wp-content/uploads/2020/02/20-1255.jpg,Electrical,Light Bulbs,LED Light Bulbs
36-393,Sandwich Plastic Box Kiddy Clay with Multi Shape Cutouts,162,170,162,,https://fixit.com.bd/wp-content/uploads/2020/02/36-393.jpg,Paint,Craft and Art Supplies,Clay and Modeling Materials
20-1247,15 Watt E-27 Spiral Energy Saver Bulb RSR Brand with Screw In Install,166,175,166,,https://fixit.com.bd/wp-content/uploads/2020/02/20-1247.jpg,Electrical,Light Bulbs,LED Light Bulbs
