id,title,description,image_link,link,product_type,brand,price,availability,item_group_id,checkout_url,additional_image_link,sale_price_effective_date,sale_price,condition,visibility,default_product,variant
fixit-10002_12028,"200mm- 8 Inch Combination Pliers Tolsen Brand 10002","• Forged steel nickel finish• Two-component plastic handle• Packing: blister card",https://fixit.com.bd/wp-content/uploads/2020/01/0bb96f906ed45f37625a2da5f9e2d3d9c3261f0b.jpg,https://fixit.com.bd/product/200mm-8-inch-combination-pliers-tolsen-brand-10002/,"Hand Tools, Pliers, Tools and Hardware","fixit.com.bd",341BDT,in stock,fixit-10002_12028,https://fixit.com.bd/cart/?add-to-cart=12028,,1970-01-29T00:00+00:00/2038-01-17T23:59+00:00,307BDT,new,published,,
fixit-10003_12029,"160mm- 6 Inch Diagonal Cutting Pliers Tolsen Brand 10003","• Forged steel nickel finish• Two-component plastic handle• Packing: blister card ",https://fixit.com.bd/wp-content/uploads/2020/01/bf51306a517d6e8ce953af4b280876259123707c.jpg,https://fixit.com.bd/product/160mm-6-inch-diagonal-cutting-pliers-tolsen-brand-10003/,"Hand Tools, Pliers, Tools and Hardware","fixit.com.bd",264BDT,in stock,fixit-10003_12029,https://fixit.com.bd/cart/?add-to-cart=12029,,1970-01-29T00:00+00:00/2038-01-17T23:59+00:00,238BDT,new,published,,
fixit-10004_12030,"180mm- 7 Inch Diagonal Cutting Pliers Tolsen Brand 10004","• Forged steel nickel finish• Two-component plastic handle• Packing: blister card ",https://fixit.com.bd/wp-content/uploads/2020/01/bf51306a517d6e8ce953af4b280876259123707c.jpg,https://fixit.com.bd/product/180mm-7-inch-diagonal-cutting-pliers-tolsen-brand-10004/,"Hand Tools, Pliers, Tools and Hardware","fixit.com.bd",341BDT,in stock,fixit-10004_12030,https://fixit.com.bd/cart/?add-to-cart=12030,,1970-01-29T00:00+00:00/2038-01-17T23:59+00:00,307BDT,new,published,,
fixit-10006_12031,"160mm- 6 Inch Long Nose Pliers Tolsen Brand 10006","• Forged steel nickel finish• Bi-color plastic handle• Packed by PP card",https://fixit.com.bd/wp-content/uploads/2020/01/854fb7be09193e7c8344c609192a41e2c88a3fea.jpg,https://fixit.com.bd/product/160mm-6-inch-long-nose-pliers-tolsen-brand-10006/,"Hand Tools, Pliers, Tools and Hardware","fixit.com.bd",264BDT,in stock,fixit-10006_12031,https://fixit.com.bd/cart/?add-to-cart=12031,,1970-01-29T00:00+00:00/2038-01-17T23:59+00:00,238BDT,new,published,,
fixit-10007_12032,"200mm- 8 Inch Long Nose Pliers Tolsen Brand 10007","• Forged steel nickel finish• Bi-color plastic handle• Packed by PP card",https://fixit.com.bd/wp-content/uploads/2020/01/854fb7be09193e7c8344c609192a41e2c88a3fea.jpg,https://fixit.com.bd/product/200mm-8-inch-long-nose-pliers-tolsen-brand-10007/,"Hand Tools, Pliers, Tools and Hardware","fixit.com.bd",341BDT,in stock,fixit-10007_12032,https://fixit.com.bd/cart/?add-to-cart=12032,,1970-01-29T00:00+00:00/2038-01-17T23:59+00:00,307BDT,new,published,,
fixit-10015_12033,"160mm- 6″ Combination Pliers Tolsen Brand 10015","• CrV black finish• Two-component plastic handle• Packing: PP card",https://fixit.com.bd/wp-content/uploads/2020/01/03ef78a8d4cb0d7c8ceea5cd6bc46cf3d61d28d4.jpg,https://fixit.com.bd/product/160mm-6%e2%80%b3-combination-pliers-tolsen-brand-10015/,"Hand Tools, Pliers, Tools and Hardware","fixit.com.bd",357BDT,in stock,fixit-10015_12033,https://fixit.com.bd/cart/?add-to-cart=12033,,1970-01-29T00:00+00:00/2038-01-17T23:59+00:00,321BDT,new,published,,
fixit-10017_12034,"200mm- 8″ Combination Pliers Tolsen Brand 10017","• CrV black finish• Two-component plastic handle• Packing: PP card",https://fixit.com.bd/wp-content/uploads/2020/01/03ef78a8d4cb0d7c8ceea5cd6bc46cf3d61d28d4.jpg,https://fixit.com.bd/product/200mm-8%e2%80%b3-combination-pliers-tolsen-brand-10017/,"Hand Tools, Pliers, Tools and Hardware","fixit.com.bd",496BDT,in stock,fixit-10017_12034,https://fixit.com.bd/cart/?add-to-cart=12034,,1970-01-29T00:00+00:00/2038-01-17T23:59+00:00,446BDT,new,published,,
fixit-10018_12035,"160mm- 6″ Diagonal Cutting Pliers Tolsen Brand 10018","• CrV black finish• Two-component plastic handle• Packing: PP card",https://fixit.com.bd/wp-content/uploads/2020/01/a822f9f38358686d7e6e0861359ec2e956447066.jpg,https://fixit.com.bd/product/160mm-6%e2%80%b3-diagonal-cutting-pliers-tolsen-brand-10018/,"Hand Tools, Pliers, Tools and Hardware","fixit.com.bd",357BDT,in stock,fixit-10018_12035,https://fixit.com.bd/cart/?add-to-cart=12035,,1970-01-29T00:00+00:00/2038-01-17T23:59+00:00,321BDT,new,published,,
fixit-10021_12037,"160mm- 6″ Long Nose Pliers Tolsen Brand 10021","• CrV black finish• Two-component plastic handle• Packing: PP card",https://fixit.com.bd/wp-content/uploads/2020/01/c0a33e6462ca2181a14d9b01eb402400326636aa.jpg,https://fixit.com.bd/product/160mm-6%e2%80%b3-long-nose-pliers-tolsen-brand-10021/,"Hand Tools, Pliers, Tools and Hardware","fixit.com.bd",357BDT,in stock,fixit-10021_12037,https://fixit.com.bd/cart/?add-to-cart=12037,,1970-01-29T00:00+00:00/2038-01-17T23:59+00:00,321BDT,new,published,,
fixit-10022_12038,"200mm- 8″ Long Nose Pliers Tolsen Brand 10022","• CrV black finish• Two-component plastic handle• Packing: PP card",https://fixit.com.bd/wp-content/uploads/2020/01/c0a33e6462ca2181a14d9b01eb402400326636aa.jpg,https://fixit.com.bd/product/200mm-8%e2%80%b3-long-nose-pliers-tolsen-brand-10022/,"Hand Tools, Pliers, Tools and Hardware","fixit.com.bd",496BDT,in stock,fixit-10022_12038,https://fixit.com.bd/cart/?add-to-cart=12038,,1970-01-29T00:00+00:00/2038-01-17T23:59+00:00,446BDT,new,published,,
